iter	MultiClass
413	1.121545662
414	1.121226679
415	1.121024986
416	1.120733369
417	1.120537869
418	1.120070083
419	1.119685765
420	1.119381019
421	1.118937851
422	1.118559129
423	1.118308791
424	1.11764375
425	1.117209909
426	1.116829167
427	1.116350732
428	1.115980034
429	1.115646772
430	1.115138353
431	1.114799298
432	1.1144454
433	1.114014537
434	1.113646749
435	1.113335791
436	1.113010945
437	1.112722552
438	1.112299987
439	1.112056297
440	1.111670276
441	1.111392296
442	1.111046155
443	1.11069445
444	1.110369314
445	1.110121849
446	1.10978202
447	1.109446201
448	1.109184788
449	1.108896583
450	1.108517012
451	1.108257453
452	1.107954888
453	1.107596036
454	1.107346888
455	1.106997065
456	1.106578687
457	1.106324375
458	1.105896389
459	1.105708448
460	1.105173975
461	1.104912348
462	1.104566217
463	1.104181394
464	1.103710074
465	1.103290406
466	1.103017611
467	1.102785501
468	1.102458559
469	1.102114756
470	1.101768375
471	1.101449482
472	1.101163484
473	1.100855547
474	1.100613747
475	1.10035284
476	1.100135701
477	1.099834505
478	1.099545719
479	1.099250314
480	1.098951962
481	1.098685143
482	1.098251057
483	1.097777497
484	1.097529567
485	1.097304958
486	1.096788017
487	1.0964936
488	1.096185702
489	1.095904379
490	1.095581443
491	1.09529147
492	1.094982234
493	1.094784917
494	1.094339891
495	1.094070292
496	1.093824833
497	1.093450215
498	1.093005674
499	1.092667943
